release_id,language_code
2,ja
3,en
4,ja
5,ja
6,ja
7,ja
8,ja
9,ja
10,en
11,ja
12,en
13,ja
14,ja
15,ja
16,ja
17,ja
18,ja
19,ja
20,ja
21,ja
22,ja
23,en
24,zh
25,ja
26,ja
27,ja
28,ja
29,ja
30,ja
31,ja
32,ja
33,ja
34,en
35,ja
36,en
37,ja
38,ja
39,ja
40,ja
41,en
42,ja
43,ja
44,ja
45,ja
46,ja
47,en
50,ja
51,en
52,ja
53,ja
54,ja
55,en
56,ja
57,ja
58,en
59,ja
60,en
61,ja
62,en
62,ja
63,ja
64,ja
65,en
66,ja
67,en
68,ja
69,en
70,ja
71,en
72,ja
73,ja
74,ja
75,en
76,ja
78,ja
79,ja
80,ja
81,ja
82,ja
83,ja
84,en
85,ja
86,en
87,ja
88,ja
89,ja
90,en
91,ja
92,en
93,ja
94,ja
95,ja
96,en
97,ja
98,en
98,ja
99,ja
100,en
101,ja
102,en
103,ja
104,en
105,en
106,ja
107,ja
108,ja
109,en
110,ja
111,en
112,en
113,ja
114,en
115,ja
116,en
117,ja
118,ja
119,en
120,fr
121,en
122,ja
123,en
124,ja
125,en
126,ja
127,en
128,ja
129,en
130,ja
131,ja
132,ja
133,en
134,ja
135,en
136,ja
137,en
138,ja
139,en
140,ja
141,en
142,ja
143,en
144,ja
145,ja
146,en
147,ja
148,en
149,ja
150,en
151,ja
152,en
153,ja
154,en
155,en
156,en
157,ja
158,ja
159,ja
160,ja
161,ja
162,en
163,ja
164,ja
165,ja
166,en
167,ja
168,ko
169,en
170,ja
171,en
172,ja
173,en
174,ja
175,ja
176,ja
177,en
178,ja
179,ja
180,en
181,en
182,ja
183,en
184,en
185,ja
186,ja
187,ja
188,ja
189,en
189,ja
190,en
191,ja
192,ja
193,ja
194,ja
195,ja
196,ja
197,en
198,ja
199,ja
200,ja
201,en
202,ja
203,ja
204,ja
205,ja
206,ja
207,ja
208,ja
209,ja
210,en
211,ja
212,ja
213,ja
214,ja
215,en
216,ja
217,ja
218,ja
219,ja
220,ja
221,ja
222,en
223,ja
224,ja
225,ja
226,ja
227,ja
228,ja
229,ja
230,ja
231,ja
232,ja
233,ja
234,en
235,ja
236,ja
237,en
238,ja
239,ja
240,ja
241,ja
242,ja
243,ja
244,ja
245,en
246,ja
247,en
248,ja
249,ja
250,en
252,ja
253,ja
254,ja
255,ja
256,ja
257,ja
258,ja
259,ja
260,ja
261,ja
262,en
263,ja
264,ja
265,ja
266,ja
267,ja
268,ja
269,ja
270,ja
271,ja
272,ja
273,ja
274,ja
275,ja
276,ja
277,ja
278,ja
279,ja
280,ja
281,ja
282,ja
283,en
284,zh
285,ja
286,ja
287,ja
288,ja
289,ja
290,ja
291,ja
292,ja
293,ja
294,ja
295,ja
296,zh
297,ja
298,ja
299,ja
300,ja
301,ja
302,ja
303,ja
304,ja
305,ja
306,ja
307,ja
308,ja
309,ja
310,ja
311,en
312,ja
313,en
314,ja
315,ja
316,ja
317,ja
318,ja
319,ja
320,zh
321,zh
322,zh
323,en
324,ja
325,ja
326,ja
327,ja
328,en
329,ja
330,ja
331,ja
332,ja
333,ja
334,ja
335,ja
336,en
337,ja
338,ja
339,ja
340,ja
341,en
342,ja
343,en
344,en
345,en
346,ja
347,ja
348,en
349,ja
350,ja
351,en
352,ja
353,ja
354,ja
355,ko
356,ja
357,en
358,ja
359,en
360,ja
361,ja
362,ja
363,ja
364,ja
365,ja
366,ja
367,ja
368,en
369,ja
370,ja
371,ja
372,ja
373,en
374,ja
375,ja
377,ja
378,ja
379,ja
380,ja
381,ja
382,ja
383,ja
384,ja
385,ja
386,ja
387,ja
388,ja
389,ja
390,ja
391,ja
392,ja
393,ja
394,ja
395,en
396,ja
397,ja
398,en
399,ja
400,ja
401,en
402,ja
403,en
404,ja
405,en
406,ja
407,en
408,ja
409,en
410,ja
411,en
412,ja
413,en
414,ja
415,en
416,ja
417,en
418,ja
419,ja
420,ja
421,ja
422,ja
423,ja
424,ja
425,en
426,ja
428,en
429,en
430,en
431,ja
432,en
435,ja
436,en
437,en
438,en
439,ja
440,en
441,en
442,ja
443,ja
444,ja
445,ja
446,ja
447,ja
448,ja
449,ja
450,ja
451,ja
452,ja
453,ja
454,ja
455,ja
456,ja
457,ja
458,ja
459,ja
460,ja
461,ja
462,ja
463,ja
464,ja
465,ja
466,ja
467,ja
468,ja
469,ja
470,ja
471,en
472,ja
474,ja
475,ja
476,ja
477,en
478,ja
479,ja
481,en
482,en
483,ja
484,ja
485,ja
486,ja
487,ja
488,ja
489,ja
490,ja
491,ja
492,ja
493,ja
494,ja
495,ja
496,ja
497,ja
499,ja
500,ja
501,ja
502,ja
503,ja
504,ja
505,ja
506,ja
507,ja
508,ja
509,ja
510,ja
511,ja
512,ja
513,ja
514,ja
515,ja
516,ja
517,ja
518,ja
519,ja
520,ja
522,ja
523,ja
524,ja
525,en
526,en
527,ja
528,ja
529,ja
530,ja
531,ja
532,ja
533,ja
534,ja
535,ja
536,ja
537,en
538,en
539,ja
540,en
541,ja
542,ja
543,ja
544,ja
546,ja
547,ja
549,ja
550,ja
551,ja
552,ja
553,ja
554,ja
555,ja
556,ja
557,ja
558,ja
559,ja
560,ja
561,ja
562,ja
563,ja
564,ja
565,ja
566,ja
567,en
568,ja
569,ja
570,en
571,ja
572,en
573,en
574,ja
575,en
576,ja
577,en
578,en
579,ja
580,ja
581,ja
582,ja
583,ja
584,ja
585,ja
586,en
587,ja
588,ja
589,en
590,ja
591,en
594,ja
595,ja
596,en
597,ja
598,ja
599,ja
600,ja
601,ja
602,ja
603,ja
604,ja
605,ja
606,ja
607,ja
608,ja
609,ja
610,ja
611,ja
612,en
613,ja
614,ja
615,ja
616,ja
617,ja
618,en
619,ja
620,ja
621,ja
622,ja
623,ja
624,ja
625,ja
626,ja
627,ja
628,ja
629,ja
630,ja
631,ja
632,ja
633,ja
634,ja
635,ja
636,ja
637,ja
638,ja
639,ja
640,ja
641,ja
642,ja
643,ja
644,ja
645,ja
646,ja
647,ja
648,ja
649,ja
650,ja
651,ja
652,ja
653,ja
654,ja
657,en
658,en
659,en
660,ja
661,ja
662,ja
663,ja
664,ja
665,ja
666,ja
667,ja
668,ja
669,ja
670,ja
671,ja
672,ja
673,ja
674,ja
675,ja
676,ja
677,ja
678,ja
679,ja
680,ja
681,ja
682,ja
683,ja
684,ja
685,ja
686,ja
687,ja
688,ja
689,ja
690,ja
691,ja
692,ja
693,ja
694,ja
695,ja
696,ja
697,ja
698,ja
699,en
700,ja
701,ja
702,ja
703,en
704,ja
705,ja
706,ja
707,ja
710,en
711,ja
712,ja
713,en
714,ja
715,ja
716,ja
717,en
718,ja
719,en
720,ja
721,en
722,ja
723,en
724,ja
725,en
726,ja
727,en
728,ja
729,ja
730,ja
731,ja
732,ja
733,ja
734,en
735,ja
736,en
737,ja
738,ja
739,ja
740,ja
741,ja
742,ja
743,ja
744,ja
745,ja
746,ja
747,ja
748,ja
749,ja
750,ja
751,ja
752,ja
753,ja
754,ja
755,ja
756,ja
757,ja
760,ja
762,en
763,ja
764,ja
765,ja
767,ja
768,ja
769,ja
770,ja
771,ja
772,ja
773,ja
774,ja
775,ja
776,ja
777,ja
778,ja
779,ja
780,ja
781,ja
782,ja
783,ja
784,ja
785,ja
786,ja
787,ja
788,ja
789,ja
790,ja
791,ja
792,ja
793,ja
794,ja
795,ja
796,ja
797,ja
798,ja
799,ja
800,ja
801,ja
802,ja
803,ja
804,ja
805,ja
806,ja
807,ja
808,ja
809,ja
810,ja
811,ja
812,ja
813,ja
814,ja
815,ja
816,ja
817,ja
818,ja
819,ja
820,ja
821,ja
822,ja
823,ja
824,ja
825,ja
826,ja
827,ja
828,ja
829,ja
830,ja
831,ja
832,ja
833,ja
834,ja
835,ja
836,ja
837,ja
838,ja
839,ja
840,ja
841,ja
842,ja
843,ja
844,ja
845,ja
846,ja
847,ja
848,ja
849,ja
850,ja
851,ja
852,ja
853,ja
854,ja
855,ja
856,ja
857,ja
858,ja
859,ja
860,ja
861,ja
862,ja
863,ja
864,ja
865,ja
866,ja
867,ja
868,ja
869,ja
870,ja
871,ja
872,ja
873,ja
874,ja
875,ja
876,ja
877,ja
878,ja
879,ja
880,ja
881,ja
882,ja
883,ja
884,ja
885,ja
886,ja
887,ja
888,ja
889,ja
890,ja
891,ja
892,ja
893,ja
894,ja
895,ja
896,ja
897,ja
898,ja
899,ja
900,ja
901,ja
902,ja
903,ja
904,ja
905,ja
906,ja
907,ja
908,ja
909,ja
910,ja
911,ja
912,ja
