staff_name_id,en_name,original_name,staff_id
2,Nasu Kinoko,奈須 きのこ,2
3,Tanaka Romeo,田中 ロミオ,3
4,Sakurai Hikaru,桜井 光,4
5,Taguchi Hiroko,田口 宏子,5
6,Akazawa Kaede,赤沢 かえで,5
7,Enomoto Minamo,榎本 みなも,5
8,Fujiwara Rika,藤原 理加,5
9,Hikura Rei,緋倉 怜,5
10,Kobayakawa Remon,小早川 れもん,5
11,Kudan Ayana,九段 綾奈,5
12,Natsuno Koori,夏野 こおり,5
14,Sakuragi Haruki,桜木 ハルキ,5
15,Kagetsu Saya,霞月 沙耶,5
16,Shinjou Mana,新城 麻奈,5
17,Shiranami Haruka,白波 遥,5
18,Suzumiya Runa,涼宮 琉那,5
19,Takatsuki Sakura,鷹月 さくら,5
20,Takebe Shizuka,武部 静香,5
21,Yukimi Sora,雪見 そら,5
22,Yura Kaori,由良 香,5
23,Tanaka Ryouko,田中 涼子,6
24,Deko,DEKO,6
25,Isshiki Hikaru,一色 ヒカル,6
26,Ryuukishi07,竜騎士07,7
27,Wakamoto Norio,若本 規夫,8
28,Hiruma Kyounosuke,比留間 京之介,8
29,Kawanakajima Satoshi,川中嶋 悟,8
30,Nagano Isamu,長野 勇,8
31,Satou Masayoshi,さとう 雅義,8
32,Nakata Jouji,中田 譲治,9
33,Shima Kazunari,嶋 和成,9
34,Koyasu Takehito,子安 武人,10
35,Aizawa Fami,相沢 ファミ,10
36,Juumonji Hayato,十文字 隼人,10
37,Kuroki Kai,黒木 凱,10
38,Kuroneko,黒猫,10
39,Mibu Roushi,壬生 浪士,10
40,Mizuki Shuu,瑞生 愁,10
41,Sakuma Takuya,柵間 拓哉,10
42,Yakushiji Ken'ichi,薬師寺 兼一,10
43,Aji Sanma,あじ秋刀魚,11
44,Okushima Kazumi,奥島 和美,12
45,Okuda Aki,奥田 秋,12
46,Sasano Hazuki,笹野 葉月,12
47,Kawaragi Shiho,河原木 志穂,13
48,Yoshizawa Yuua,吉沢 悠亜,13
49,Yuzuki Kaname,柚木 かなめ,13
50,Takano Naoko,高野 直子,14
51,Kawamura Midori,川村 みどり,14
52,Miyabi Himeno,雅 姫乃,14
53,Sawada Satsuki,沢田 さつき,14
54,Yoshida Satsuki,吉田 皐月,14
55,Sugiyama Noriaki,杉山 紀彰,15
56,Noriyuki ,紀之,15
57,Kawasumi Ayako,川澄 綾子,16
58,Ueda Kana,植田 佳奈,17
59,Kuribayashi Minami,栗林 みな実,18
60,Aoki Fumio,青木 史生,19
61,Sugina Miki,杉菜 水姫,19
62,Iida Kazuhiko,飯田 和彦,20
63,Suzuka Miya,鈴鹿 美弥,21
64,Shimotsuki Haruka,霜月 はるか,22
65,Tamiyasu Tomoe,民安 ともえ,23
66,Tamiya Tomoe,田宮 トモエ,23
67,Nishiguchi Yuka,西口 有香,24
68,Hamura Nao,葉村 夏緒,24
69,Yasuda Mio,安田 未央,25
70,Akishiro Yuzuki,秋城 柚月,25
71,Momoka-chan,桃華ちゃん,25
72,Yazawa Izumi,矢沢 泉,25
73,Yoshida Mimi,吉田 美海,26
74,Mizushima Rion,水島 理音,27
75,Hinata Aoi,日向 葵,27
76,Mikogami Neko,御子神 猫,27
77,Mizusawa Kei,瑞沢 渓,28
78,Horiike Madoka,堀池 円,28
