tag_id,tag_name,tag_description
2,Fantasy,This game features elements and themes from the [url=http://en.wikipedia.org/wiki/Fantasy]fantasy[/url] genre.
3,ESP,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Extrasensory_perception]extrasensory perception[/url] concept.
4,Magic,This game features elements and themes related to the paranormal concept of [url=http://en.wikipedia.org/wiki/Magic_%28paranormal%29]magic[/url].\n\nDo not use for games that have magic as a form of illusionary tricks which has no paranormal qualities.
5,Vampire,This game features elements and themes related to the  [url=http://en.wikipedia.org/wiki/Vampire]vampire[/url] lore.
6,Superpowers,This game features elements and themes related to characters with [url=http://en.wikipedia.org/wiki/Superpower_%28ability%29]superpowered[/url] abilities.
7,Horror,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Horror_fiction]horror[/url] genre.
8,Fear of Death,This game features characters who are mostly in a state of [url=http://en.wikipedia.org/wiki/Fear_of_death]fear of death[/url]. This may have justifiable reasons based on the story or may just be related to the mental illness called necrophobia.
9,Identity Crisis,This game features characters who are suffering from a case of [url=http://en.wikipedia.org/wiki/Identity_crisis_%28psychology%29]identity crisis[/url].
10,Terrorized by Monsters,This game features characters who are being terrorized by [url=http://en.wikipedia.org/wiki/Monster]monsters[/url].
12,Action,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Action_(fiction)]action[/url] genre.
14,Mecha Combat,This game features scenes of [url=http://en.wikipedia.org/wiki/Combat]combat[/url] with [url=http://en.wikipedia.org/wiki/Mecha]mecha[/url].
19,Mystery,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Mystery_fiction]mystery[/url] genre.\n\nA mystery is a story whose plot involves a crime or other event that remains puzzlingly unsettled until the very end.
23,Sexual Content,This tag can be used for the games that has [url=http://en.wikipedia.org/wiki/Sexual_content]erotic content[/url]. It is recommended to use its child-tags to provide further details instead when applicable.
25,Personal Armed Combat,"These games contain scenes of [url=http://en.wikipedia.org/wiki/Combat]combat[/url] with (hand-held) weapons, like swords, firearms and the like.\nCombat with Mecha and other vehicles has a different tag."
31,Action Game,"This tag indicates that the game includes gameplay sequences challenging the player's speed, dexterity and reaction time.\n\nCheck the related [url=http://en.wikipedia.org/wiki/Action_Game]Wikipedia[/url] entry for details."
32,ADV,"In these games, the box with the text occupies only part of the screen, usually at the bottom. This is by far the most common text presentation method.\n\nIf the textbox is not in the same position every time, use the [url=http://vndb.org/g398]Floating Textbox[/url] tag instead of this one.\n\nIf a game uses both [url=http://vndb.org/g43]full-screen[/url] and part-screen textboxes, apply both tags to it.\n\n[url=http://s.vndb.org/sf/01/6101.jpg]Example 1[/url]\n[url=http://s.vndb.org/sf/04/1304.jpg]Example 2[/url]"
