trait_id,trait_name,trait_alias,description
2,Hair Color,Hair Colour,"These are the traits for characters' hair colors. It doesn't matter if this hair color is natural or a result of some conditions affecting hair color.\n\nSee the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples of each hair color in the database. Please always refer to this chart when in doubt.\n\nNote 1: if a character's hair color is ambiguous and cannot be described with a single color, tagging the character with multiple color traits is allowed. (Example: [url=http://vndb.org/c10551]Crayanne[/url])\n\nNote 2: if a character has several well distinguishable colors in his/her hair, please use the [url=http://vndb.org/i894]Multicolored[/url] trait along with the relevant color traits. (Example: [url=http://vndb.org/c10040]Aaron Vanich[/url])"
4,Black,,This character has black hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
5,Blond,Golden\nPlatinum\nYellow\nBlonde,This character has blond hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
6,Brown,,This character has brown hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
7,Blue,,This character has blue hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
8,Pink,,This character has pink hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
9,Violet,Purple,This character has purple hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
10,Red,Scarlet,This character has red hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
11,White,,This character has white hair.\n\nPlease see the [url=https://s.vndb.org/sf/33/126533.jpg]VNDB Hair Color Chart[/url] for examples when in doubt.
12,Hairstyle,Hairdo\nHaircut,These are the traits for characters' [url=http://en.wikipedia.org/wiki/Hair_style]hairstyles[/url]. It doesn't matter if this hair style is natural or a result of some conditions affecting hair style.
13,Ahoge,,This character's hair has an [url=http://en.wikipedia.org/wiki/Glossary_of_anime_and_manga]ahoge[/url].\n\nAn ahoge is a single strand of hair that sticks out of a character's head.
14,Antenna,,"This character's hair has an [url=http://en.wikipedia.org/wiki/Glossary_of_anime_and_manga]antenna[/url].\n\nAn antenna is a variation of ahoge, which is when there are two or more locks of hair sticking up as opposed to one."
15,Bald,Shaved Head\nNo Hair,This character has no hair.\n\nIt can be a result of [url=http://en.wikipedia.org/wiki/Baldness]baldness[/url] and/or [url=http://en.wikipedia.org/wiki/Head_shaving]shaving the head[/url].
16,Bun,Bobtail,"This character has [url=http://en.wikipedia.org/wiki/Bun_%28hairstyle%29]bun hairstyle[/url].\n\nA bun is a type of hairstyle, typically worn by women, where the hair is pulled back from the face, twisted or plaited, and wrapped in a circular coil around itself, typically on the back of the head or neck. They can either be secured with a hairpiece, a hairnet and bobby pins. They may be tightly gathered or slightly messier and more informal."
17,Odango,Pigtail Buns\nDouble Bun\nOx Horns\nTwin Buns,"This character has [url=http://en.wikipedia.org/wiki/Bun_%28hairstyle%29#Double_bun]double bun hairstyle[/url].\n\nA bun is a type of hairstyle, typically worn by women, where the hair is pulled back from the face, twisted or plaited, and wrapped in a circular coil around itself, typically on the back of the head or neck. They can either be secured with a hairpiece, a hairnet and bobby pins. They may be tightly gathered or slightly messier and more informal. A double bun is a variation of this hairstyle featuring two of these buns."
18,Ponytail,,"This character has [url=http://en.wikipedia.org/wiki/Ponytail]ponytail hairstyle[/url].\n\nA ponytail is a hairstyle in which most or all of the hair on the head is pulled away from the face, gathered and secured at the back of the head with a hair tie, clip or similar device, and allowed to hang freely from that point."
19,Twin Tails,Bunches\nAngel Wings\nPigtails\nTwintails,"This character has [url=http://en.wikipedia.org/wiki/Bunches]bunches hairstyle[/url].\n\nBunches, also called angel wings and pigtails, are a hairstyle in which the hair is parted down the middle and gathered into two symmetrical bundles, like ponytails, secured near the scalp. In some English-speaking regions, this hairstyle is referred to as ""pigtails,"" but in others, the term ""pigtails"" applies only if the hair is braided."
20,Bob Cut,,"This character has [url=http://en.wikipedia.org/wiki/Bob_cut]bob cut hairstyle[/url].\n\nA ""bob cut"" is a short haircut for men and women in which the hair is typically cut straight around the head at about jaw-length, often with a fringe (or ""bangs"") at the front."
