char_id,vn_id,role
2,362,side
2,363,primary
2,7410,primary
3,1747,primary
4,1491,primary
5,1747,primary
6,1747,primary
7,1709,primary
8,1709,primary
9,610,primary
9,1907,primary
10,2933,side
11,410,primary
12,454,primary
13,1431,side
14,1747,primary
15,11,main
15,50,main
16,38,primary
17,38,primary
18,38,main
19,38,primary
20,38,primary
21,38,side
22,38,side
23,17,main
23,19373,main
24,17,main
24,19373,main
25,17,main
26,17,main
27,17,primary
27,19373,primary
28,17,primary
28,19373,primary
29,17,primary
30,17,primary
30,19373,primary
31,17,primary
31,19373,primary
32,17,primary
32,19373,primary
33,11,primary
33,50,primary
33,666,appears
33,14554,primary
34,11,primary
34,50,primary
34,666,appears
34,12369,appears
35,11,primary
35,50,primary
36,11,primary
36,50,primary
36,12369,appears
37,11,primary
37,50,primary
38,11,side
38,50,primary
39,11,side
40,11,side
40,50,side
41,11,side
41,50,side
42,11,primary
42,50,appears
43,11,side
43,50,side
44,11,side
44,50,side
45,11,side
45,50,side
46,11,appears
47,11,side
47,50,side
48,11,appears
48,50,side
49,11,side
49,50,side
50,11,side
51,11,side
51,50,appears
52,11,appears
52,50,side
53,11,side
53,50,appears
54,11,appears
54,50,appears
55,11,appears
56,2428,primary
57,397,primary
57,398,primary
57,399,side
57,1143,appears
57,6173,primary
58,397,primary
58,398,primary
58,399,side
58,6173,primary
59,397,primary
59,398,primary
59,399,side
59,1143,appears
59,6173,primary
60,397,main
60,398,main
60,399,main
60,6173,main
60,18005,main
61,397,primary
61,398,primary
61,399,side
61,6173,primary
62,1390,appears
63,1390,primary
64,1390,main
65,1574,main
65,5962,main
65,5963,main
65,5966,main
65,5967,main
65,5968,main
65,5969,main
65,5970,main
65,5971,main
65,5972,main
65,5973,main
65,5974,main
65,5975,main
65,5976,main
65,5977,main
65,5978,main
65,5979,main
65,5980,main
65,5982,main
65,5983,main
65,5984,main
65,5985,main
65,5986,main
65,5987,main
65,5988,main
65,5989,main
65,5990,main
65,5991,main
65,5992,main
65,5993,main
65,5994,main
65,5995,main
65,5996,main
65,5997,main
65,11682,main
65,19010,main
65,20732,main
65,21359,main
65,21360,main
65,21361,main
65,21362,main
65,23035,main
65,28082,main
66,97,primary
66,2016,appears
67,97,main
68,97,primary
69,97,primary
70,97,primary
71,97,primary
72,7,main
72,47,main
72,49,appears
72,165,main
72,1701,main
73,1709,primary
74,7,primary
74,47,primary
74,49,appears
74,165,primary
74,1701,primary
75,7,primary
75,47,primary
75,49,appears
75,165,primary
75,1701,primary
76,397,primary
76,398,primary
76,399,side
76,6173,primary
77,397,primary
77,397,primary
77,397,primary
77,397,primary
77,398,primary
77,399,primary
77,399,primary
77,6173,primary
78,7,primary
78,47,primary
78,49,appears
78,165,primary
78,1701,primary
79,397,primary
79,398,side
79,399,side
79,6173,primary
80,7,primary
80,47,primary
80,49,appears
80,165,primary
80,1701,primary
81,7,primary
81,47,primary
81,49,appears
81,165,primary
81,1701,primary
82,398,primary
82,6173,primary
83,397,side
83,398,side
83,399,side
83,6173,side
84,165,main
84,23403,appears
85,49,primary
86,47,side
86,49,main
86,165,appears
87,47,primary
87,165,primary
88,7,side
88,47,side
89,7,side
89,47,appears
89,49,side
89,165,side
89,1701,side
89,12462,primary
90,7,appears
91,7,side
91,47,appears
91,49,appears
91,165,side
91,1701,appears
92,397,side
92,398,side
92,399,side
92,6173,side
93,397,side
93,398,side
93,399,side
93,6173,side
94,397,side
94,398,side
94,399,side
94,6173,side
95,397,appears
95,398,appears
95,399,appears
95,6173,appears
96,93,main
96,161,side
96,404,main
96,5895,appears
96,15238,main
97,93,main
