char_id,vn_id,role
2,362,side
2,363,primary
3,1747,primary
4,1491,primary
5,1747,primary
6,1747,primary
7,1709,primary
8,1709,primary
9,610,primary
9,1907,primary
11,410,primary
12,454,primary
13,1431,side
14,1747,primary
15,11,main
15,50,main
16,38,primary
17,38,primary
18,38,main
19,38,primary
20,38,primary
21,38,side
22,38,side
23,17,main
24,17,main
25,17,main
26,17,main
27,17,primary
28,17,primary
29,17,primary
30,17,primary
31,17,primary
32,17,primary
33,11,primary
33,50,primary
33,666,appears
34,11,primary
34,50,primary
34,666,appears
35,11,primary
35,50,primary
36,11,primary
36,50,primary
37,11,primary
37,50,primary
38,11,side
38,50,primary
39,11,side
40,11,side
40,50,side
41,11,side
41,50,side
42,11,primary
42,50,appears
43,11,side
43,50,side
44,11,side
44,50,side
45,11,side
45,50,side
46,11,appears
47,11,side
47,50,side
48,11,appears
48,50,side
49,11,side
49,50,side
50,11,side
51,11,side
51,50,appears
52,11,appears
52,50,side
53,11,side
53,50,appears
54,11,appears
54,50,appears
55,11,appears
57,397,primary
57,398,primary
57,399,side
57,1143,appears
58,397,primary
58,398,primary
58,399,side
59,397,primary
59,398,primary
59,399,side
59,1143,appears
60,397,main
60,398,main
60,399,main
61,397,primary
61,398,primary
61,399,side
62,1390,appears
63,1390,primary
64,1390,main
65,1574,main
66,97,primary
66,2016,appears
67,97,main
68,97,primary
69,97,primary
70,97,primary
71,97,primary
72,7,main
72,47,main
72,49,appears
72,165,main
72,1701,main
73,1709,primary
74,7,primary
74,47,primary
74,49,appears
74,165,primary
74,1701,primary
75,7,primary
75,47,primary
75,49,appears
75,165,primary
75,1701,primary
76,397,primary
76,398,primary
76,399,side
77,397,primary
77,397,primary
77,397,primary
77,397,primary
77,398,primary
77,399,primary
77,399,primary
78,7,primary
78,47,primary
78,49,appears
78,165,primary
78,1701,primary
79,397,primary
79,398,side
79,399,side
80,7,primary
80,47,primary
80,49,appears
80,165,primary
80,1701,primary
81,7,primary
81,47,primary
81,49,appears
81,165,primary
81,1701,primary
82,398,primary
83,397,side
83,398,side
83,399,side
84,165,main
85,49,primary
86,47,side
86,49,main
86,165,appears
87,47,primary
87,165,primary
88,7,side
88,47,side
89,7,side
89,47,appears
89,49,side
89,165,side
89,1701,side
90,7,appears
91,7,side
91,47,appears
91,49,appears
91,165,side
91,1701,appears
92,397,side
92,398,side
92,399,side
93,397,side
93,398,side
93,399,side
94,397,side
94,398,side
94,399,side
95,397,appears
95,398,appears
95,399,appears
96,93,main
96,161,side
96,404,main
97,93,main
98,92,main
99,405,main
100,397,side
100,398,side
100,398,primary
100,399,side
101,397,side
101,398,side
101,398,primary
101,399,side
102,397,side
102,398,side
102,399,side
103,397,side
103,398,side
103,399,side
104,92,appears
104,93,primary
104,404,primary
105,93,primary
106,92,primary
107,92,appears
107,405,primary
108,92,appears
108,93,primary
108,161,side
108,404,primary
109,92,appears
109,405,primary
110,92,primary
111,92,appears
111,93,side
111,161,side
111,404,side
111,405,side
112,92,side
112,93,side
112,1362,main
113,92,appears
113,93,side
113,161,side
113,404,side
113,405,side
114,92,primary
114,93,side
115,92,appears
115,93,primary
115,94,appears
115,94,appears
115,161,side
115,404,primary
116,92,appears
116,405,primary
117,93,primary
118,92,primary
119,405,side
120,405,appears
121,92,appears
122,405,side
123,92,appears
123,93,primary
123,161,side
123,404,primary
124,93,primary
125,92,primary
126,92,appears
126,405,primary
127,92,appears
127,93,side
127,404,side
127,405,side
128,405,appears
129,92,side
129,93,side
130,92,appears
130,93,primary
130,161,side
130,404,primary
131,93,primary
132,92,primary
133,92,appears
133,405,primary
