producer_id,vn_id
2,92
3,1
4,2
5,2
6,92
7,92
8,93
9,93
10,2
11,93
12,17
13,4
14,94
15,94
16,94
17,94
18,95
19,95
20,95
21,96
22,10
23,10
24,10
25,97
26,98
27,98
28,98
29,99
30,99
31,99
32,100
33,100
34,3
35,101
36,101
37,102
38,99
39,99
40,103
41,103
42,104
43,105
44,1099
45,106
46,106
47,106
50,108
51,108
52,28
53,109
54,28
55,109
56,110
57,29
58,110
59,111
60,30
61,30
62,32
63,32
64,31
65,31
66,33
67,111
68,112
69,112
70,34
71,34
72,34
73,34
74,35
75,35
76,113
78,114
79,37
80,37
81,38
82,38
83,39
84,39
85,40
86,40
87,36
88,36
89,41
90,41
91,42
92,42
93,32
94,43
95,35
96,114
97,115
98,115
99,116
100,116
101,117
102,117
103,118
104,118
105,119
106,45
107,119
108,120
109,120
110,122
111,122
112,43
113,46
114,46
115,123
116,123
117,124
118,48
119,48
120,48
121,124
122,125
123,125
124,121
125,121
126,126
127,126
128,127
129,127
130,128
131,51
132,51
133,51
134,52
135,52
136,53
137,53
138,54
139,128
140,55
141,55
142,56
143,56
144,57
145,58
146,58
147,59
148,59
149,60
150,60
151,61
152,61
153,62
154,62
155,63
156,64
157,64
158,64
159,65
160,65
161,129
162,129
163,130
164,71
165,72
166,72
167,10
168,10
169,130
170,212
171,131
172,132
173,132
174,5
175,5
176,8
177,8
178,133
179,6
180,6
181,133
182,9
183,9
184,29
185,29
186,45
187,134
188,45
189,45
190,134
191,135
192,12
193,12
194,13
195,13
196,17
197,135
198,17
199,136
200,14
201,136
202,14
203,15
204,15
205,15
206,15
207,15
208,137
209,16
210,137
211,18
212,138
213,19
214,18
214,20
215,138
216,19
217,139
218,19
219,19
220,20
221,19
222,139
223,19
224,19
225,20
226,140
227,21
228,21
229,22
230,22
231,22
232,23
233,23
234,140
235,23
236,141
237,141
238,24
239,25
240,263
241,25
241,263
242,26
243,26
243,74
244,142
245,142
246,143
247,143
248,23
249,144
250,144
252,66
253,67
254,67
255,67
256,67
257,67
257,68
258,68
259,145
260,68
261,68
262,145
263,69
264,10
264,70
265,68
266,18
267,15
268,51
269,51
270,33
271,33
272,33
273,33
274,33
275,33
276,33
277,19
278,19
279,146
280,17
281,17
282,17
283,146
284,17
285,36
286,36
287,36
288,36
289,36
290,35
291,35
292,35
292,592
293,35
294,73
295,73
296,17
297,3
298,3
299,3
300,3
301,4
302,4
303,4
304,74
305,74
306,76
307,74
308,147
309,77
310,3847
311,54
312,27
313,147
314,148
315,45
316,45
317,18
318,35
319,67
320,38
321,38
322,38
323,148
324,149
325,75
326,12951
327,75
327,12951
328,17
329,17
330,78
331,78
332,78
333,78
334,14039
335,78
336,78
337,78
338,78
339,7
340,7
340,47
340,49
341,7
342,49
343,149
344,49
345,49
346,47
347,150
348,47
349,11
350,11
351,11
352,11
353,11
354,50
355,50
356,44
357,44
358,151
359,151
360,28
361,28
362,28
363,1
364,2
365,36
366,66
367,79
368,79
369,79
370,80
371,80
372,80
373,80
374,80
375,30
377,401
378,397
379,82
380,82
381,82
382,83
383,57
384,84
385,85
386,85
387,86
388,87
389,88
390,89
391,3232
392,89
393,89
394,89
395,71
396,90
397,91
398,91
399,38
400,152
401,152
402,153
403,153
404,1972
405,154
406,155
407,155
408,156
409,156
410,157
411,157
412,158
413,158
414,159
414,8680
415,159
415,8680
416,160
417,160
418,161
419,162
420,163
420,888
420,1414
420,1427
420,1798
420,1826
420,1827
420,1828
420,1829
421,164
422,164
423,164
424,165
425,165
426,166
428,11
429,33
430,4
431,167
432,167
435,169
436,169
437,66
438,172
439,605
440,172
441,173
442,174
443,174
444,174
445,175
446,175
447,175
448,176
449,176
450,176
451,177
452,177
453,177
454,177
455,178
456,178
457,179
458,179
459,592
460,180
461,181
462,182
463,182
464,183
465,184
466,184
467,185
468,186
469,186
470,187
471,187
472,188
474,189
475,188
475,189
476,188
477,190
478,191
479,192
481,97
482,36
483,193
484,193
485,193
486,194
487,194
488,194
489,194
490,194
491,194
492,195
493,195
494,195
495,196
496,196
497,196
499,197
499,583
500,198
501,198
502,198
503,199
504,199
505,199
506,200
507,200
508,200
509,200
510,200
511,201
512,202
513,202
514,203
515,204
516,204
517,204
518,204
519,205
520,206
522,207
523,207
524,209
525,20
526,209
527,210
528,211
529,211
530,211
531,211
532,85
533,213
534,214
535,215
536,215
537,166
538,24
539,24
540,10
540,70
541,5
542,190
543,190
544,389
546,208
547,216
549,217
550,217
551,218
552,219
553,219
554,219
555,220
556,220
557,221
558,221
559,221
560,221
561,221
562,221
563,221
564,221
565,221
566,221
567,222
568,222
569,223
570,223
571,224
572,224
573,179
574,225
575,225
576,226
577,226
578,227
579,227
580,228
581,228
582,228
583,228
584,228
585,228
586,228
587,228
588,229
589,229
590,230
591,230
594,231
595,231
596,174
597,232
598,232
599,88
600,234
601,234
602,235
603,231
604,235
605,236
606,236
607,237
608,238
609,232
610,232
611,237
612,239
613,239
614,240
615,240
616,240
617,241
618,241
619,242
620,242
621,243
622,244
623,244
624,245
625,245
626,13
626,17
626,247
626,248
627,246
628,246
629,247
630,248
631,248
632,248
633,249
634,250
635,251
636,252
637,253
638,254
639,254
639,17245
640,254
641,255
642,254
643,17245
644,257
645,256
645,2743
646,256
647,256
647,257
648,258
649,259
650,260
651,260
652,261
653,262
654,262
657,82
658,67
659,98
660,264
661,264
662,264
663,264
664,264
665,264
666,264
667,264
668,265
669,265
670,266
671,266
672,266
673,266
674,264
675,266
676,264
677,267
678,268
679,273
680,273
681,273
682,273
683,273
684,273
685,273
686,272
687,271
688,264
689,264
690,266
691,273
692,274
693,264
694,264
695,274
696,274
697,276
698,276
699,264
700,277
701,277
702,278
703,278
704,280
705,279
706,279
707,280
710,281
711,282
712,281
713,283
714,283
715,284
716,285
717,286
718,286
719,287
720,287
721,288
722,288
723,289
724,289
725,290
726,290
727,291
728,291
729,292
730,293
731,294
732,295
733,295
734,295
735,296
736,296
737,297
738,298
739,298
740,299
741,301
742,300
743,300
744,302
745,11
746,303
747,304
748,304
749,305
750,305
751,175
752,306
753,306
754,307
755,99
756,308
757,306
760,310
762,38
763,311
764,311
765,311
767,312
768,313
769,314
770,314
771,315
772,316
773,316
774,317
775,317
776,318
777,318
778,318
779,318
780,99
781,321
782,319
783,99
784,99
785,320
786,322
787,323
788,323
789,324
790,324
791,324
792,325
793,326
794,327
795,328
796,328
797,329
798,330
799,331
800,332
801,333
802,334
803,335
804,336
805,336
806,336
807,336
808,337
809,337
810,337
811,338
812,339
813,340
814,340
815,341
816,342
817,343
818,344
819,345
820,346
821,347
822,347
823,348
824,349
825,350
826,351
827,352
828,353
829,354
830,355
831,356
832,357
833,358
