producer_id,vn_id
4,2
5,2
10,2
364,2
1037,2
1039,2
34,3
297,3
298,3
299,3
300,3
13,4
301,4
302,4
303,4
430,4
1441,4
1629,4
174,5
175,5
541,5
1584,5
1607,5
179,6
180,6
339,7
340,7
341,7
176,8
177,8
182,9
183,9
22,10
23,10
24,10
167,10
168,10
264,10
540,10
349,11
350,11
351,11
352,11
353,11
428,11
192,12
193,12
1476,12
194,13
195,13
626,13
200,14
202,14
1378,14
203,15
204,15
205,15
206,15
207,15
267,15
209,16
12,17
196,17
198,17
280,17
281,17
284,17
296,17
328,17
329,17
626,17
1652,17
211,18
214,18
266,18
317,18
213,19
216,19
218,19
219,19
221,19
223,19
224,19
277,19
278,19
214,20
220,20
225,20
525,20
227,21
228,21
229,22
230,22
231,22
232,23
233,23
235,23
248,23
238,24
538,24
539,24
1435,24
1436,24
239,25
241,25
242,26
243,26
312,27
52,28
54,28
361,28
362,28
1555,28
57,29
184,29
185,29
1084,29
60,30
61,30
375,30
64,31
65,31
62,32
63,32
93,32
66,33
270,33
271,33
272,33
273,33
274,33
275,33
276,33
429,33
70,34
71,34
72,34
73,34
951,34
74,35
75,35
95,35
290,35
291,35
292,35
293,35
318,35
87,36
88,36
285,36
286,36
287,36
288,36
289,36
365,36
79,37
80,37
81,38
82,38
320,38
321,38
322,38
399,38
762,38
83,39
84,39
85,40
86,40
89,41
90,41
1335,41
91,42
92,42
94,43
112,43
356,44
357,44
106,45
186,45
188,45
189,45
315,45
316,45
114,46
340,47
346,47
348,47
118,48
119,48
120,48
340,49
342,49
344,49
345,49
354,50
355,50
131,51
132,51
133,51
268,51
269,51
134,52
135,52
1651,52
136,53
137,53
138,54
311,54
140,55
141,55
1336,55
142,56
143,56
144,57
383,57
1583,57
145,58
146,58
147,59
148,59
149,60
150,60
151,61
152,61
153,62
155,63
156,64
157,64
158,64
159,65
160,65
252,66
437,66
253,67
254,67
255,67
256,67
257,67
319,67
658,67
1616,67
1679,67
257,68
258,68
260,68
261,68
265,68
1679,68
263,69
264,70
540,70
164,71
395,71
165,72
166,72
294,73
295,73
243,74
304,74
305,74
307,74
325,75
327,75
306,76
309,77
330,78
331,78
332,78
333,78
335,78
336,78
337,78
367,79
368,79
369,79
1656,79
370,80
371,80
372,80
373,80
374,80
379,82
380,82
381,82
657,82
382,83
384,84
385,85
386,85
532,85
387,86
388,87
389,88
599,88
390,89
392,89
393,89
394,89
397,91
398,91
2,92
6,92
7,92
8,93
9,93
11,93
14,94
15,94
16,94
17,94
18,95
19,95
20,95
21,96
1628,96
25,97
481,97
26,98
27,98
28,98
659,98
29,99
30,99
31,99
38,99
39,99
755,99
780,99
783,99
784,99
32,100
33,100
35,101
36,101
37,102
40,103
41,103
42,104
43,105
45,106
46,106
47,106
50,108
51,108
53,109
55,109
56,110
58,110
59,111
67,111
68,112
