vn_id,staff_id,position,note
1,1433,art,
1,4884,scenario,
1,4983,music,
2,333,music,Original and remake
2,375,scenario,
2,2372,music,
2,3586,director,Assistant director
2,3757,chardesign,Remake
2,5165,music,Remake
2,5585,staff,Movie (PSP)
2,6176,chardesign,
2,6176,art,
2,6311,director,
2,6871,music,
2,8609,staff,Special thanks
2,8612,staff,Lead coloring
2,11548,staff,"Producer, sound director (PSP)"
2,13446,director,PSP
2,13446,staff,Scripting (PSP)
2,14379,director,Assistant director
2,14379,staff,Game design
2,16778,staff,Scripting (PSP)
2,16780,staff,System graphics (PSP)
2,16785,staff,Line manager (PSP)
2,17767,staff,Producer
3,932,songs,"PS2/PSP Insert Song ""Unmei -SADAME-"""
3,1903,scenario,
3,1903,staff,"Original concept, planning"
3,2170,music,BGM
3,2181,music,"PC & ED OP, PS2/PSP insert song composition, arrangement"
3,2182,music,"BGM & PC ED composition, arrangement"
3,2198,music,"PS2/PSP ED ""Kimi ga Tame"""
3,2217,music,"BGM, sound effects"
3,2864,chardesign,
3,2864,art,
3,4006,songs,"PS2/PSP OP ""Kimi Dake no Tabiji"", PS2/PSP ED ""Kimi ga Tame"", remake OP ""Kimi Dake no Tabiji Re:boot"""
3,8196,music,"PC ED, PS2/PSP OP, PS2/PSP ED lyrics"
3,8197,songs,"PC insert song ""Unmei -SADAME-"", PC ED ""Towa (Towa) ni"""
3,8199,music,"PS2/PSP OP composition, arrangement, PS2/PSP ED arrangement"
3,10382,staff,PS2/PSP OP animation director
3,13193,director,
4,386,scenario,"Common route, Nagisa, Fuuko, Tomoyo, Misae, first half of Yukine, After Story routes"
4,386,music,"ED2 ""Chiisana Te no Hira"" lyricist, BGM"
4,386,staff,Planning
4,429,chardesign,
4,429,art,
4,430,staff,Colouring
4,769,songs,"Insert Song ""Ana"""
4,782,songs,"OP ""Mag Mell"", ED1 ""-Kage Futatsu-"", ED2 ""Chiisana Te no Hira"""
4,785,music,"OP ""Mag Mell"""
4,982,scenario,Kotomi's route
4,983,scenario,"Fujibayashi sisters', Kappei's, second half of Yukine's routes"
4,983,music,"ED1 ""-Kage Futatsu-"" lyricist"
4,984,music,BGM
4,985,music,"ED1 ""-Kage Futatsu-"", BGM"
4,5369,scenario,Sunohara siblings' route
4,9153,staff,Executive producer
4,13479,staff,Programming
4,13482,staff,PR
4,13583,staff,Colouring
4,13586,staff,"Colouring, BG"
4,13588,scenario,Assistant writer
4,13592,staff,Colouring
4,26333,staff,"Insert song ""Ana"" lyrics"
5,64,songs,"Chorus in ""Sha La La Ecstasy"""
5,185,songs,"OP ""Little Busters"", First ""Alicemagic"", Second ED ""Ame Nochi Hare"", Third ED ""Song for friends"", insert song ""Haruka Kanata"", Refrain ED ""Little Busters -Little Jumper- ver."""
5,386,scenario,"Common route (Interactions with Natsume siblings, Masato and Kengo), Rin, Saya & Refrain"
5,386,music,"BGM, composition & lyrics of OP, Saya ED, insert song & Refrain ED"
5,386,staff,Planning
5,429,chardesign,"Kurugaya, Haruka, Kanata, A-chan & Komari"
5,429,art,
5,430,chardesign,"Rin, Kud, Mio, Riki, Saya, Sasami, Kyousuke, Masato & Kengo"
5,430,art,
5,430,staff,Colouring
5,769,songs,"Saya ED ""Saya's Song"""
5,980,scenario,Mio's route
5,980,staff,Second ED lyrics
5,981,scenario,"Common route (Interactions with other characters), Komari's, Kurugaya's and Sasami's routes"
5,981,staff,Third ED lyrics
5,984,music,"BGM composition, arrangement, ED1 composition, arrangement"
5,985,music,"BGM composition, arrangement"
5,1432,music,BGM arrangement
5,2044,scenario,"Haruka's, Kud's & Kanata's routes"
5,2168,music,Little Busters! Ecstasy
5,2417,staff,Special thanks
5,2767,music,"BGM composition, arrangement, insert song arrangement"
5,5585,staff,OP movie
5,6058,music,
5,6067,staff,Special thanks
5,6603,music,"OP, Refrain ED arrangement"
5,6604,music,"OP, Refrain ED arrangement"
5,6953,music,"First ED, Third ED arrangement"
5,6954,music,"Third ED arrangement, Ecstasy OP Remix"
5,7074,music,"BGM composition, arrangement, ED2 composition, arrangement"
5,9153,staff,Executive producer
5,11302,music,"First ED, Third ED arrangement"
5,13200,music,Saya ED arrangement
5,13473,staff,"Programming, script"
5,13479,staff,Programming
5,13481,staff,Script
5,13482,staff,PR
5,13583,staff,Colouring
5,13586,staff,"Colouring, BG"
5,13588,scenario,Assistant writer
5,13588,staff,Progress management
5,13592,staff,Colouring
5,13594,staff,Colouring
7,2,scenario,
7,2,director,
7,2,staff,"Planning, original concept, programming"
7,142,chardesign,
7,142,art,
7,142,staff,"Planning, development supervision, CG"
7,1543,music,
7,1661,staff,Testing
7,4325,staff,Special thanks
7,4750,staff,Testing
7,14526,staff,Testing
8,10485,scenario,
8,10485,art,
9,908,music,
9,1712,scenario,
9,1712,art,
9,1713,staff,Producer
9,1714,staff,"Scripting, Program"
9,1717,staff,CG
9,1718,staff,CG
9,1719,staff,CG
9,1739,staff,CG
9,10135,art,Original picture help
9,10146,staff,Audio extraction / embedding
10,1014,scenario,
10,1014,music,Narcissu ~Setsumi's Theme~ lyrics
10,1014,director,
10,1432,music,
10,1780,art,
10,1781,music,
10,1782,music,
10,1783,music,
10,1785,music,"Narcissu ~Setsumi's Theme~ composition, arrangement"
10,1787,music,
10,2614,music,Insert song lyrics
10,2616,staff,"System design, system graphics"
10,2757,music,
10,2775,art,"CG, backgrounds, assistant"
10,2777,staff,Voice recording. editing
10,2902,music,"Insert song composition, arrangement"
10,3214,music,
10,3565,music,"Rumbling Viaduct 2007 and ""Scarlet"" composition"
10,5931,songs,Narcissu ~Setsumi's Theme~
10,7482,staff,Web-i-koma
10,9522,music,
10,10855,staff,System scripting
10,12756,songs,"Insert song ""I am here"""
11,1,scenario,Tobitate! (Vita)
11,1,staff,Special thanks
11,2,scenario,
11,2,director,
11,2,staff,"Planning, original concept, composition, scripting assistance"
11,4,scenario,Tobitate! (Vita)
11,142,chardesign,
11,142,art,
11,142,staff,"Planning, layout"
11,376,scenario,Tobitate! (Vita)
11,978,art,"Background art, event background art"
11,978,staff,"Graphics supervision, design, graphics"
11,1271,staff,Graphics (special help)
11,1456,scenario,Tobitate! (Vita): Caster and Rider routes
11,1542,music,"Lyrics OP ""THIS ILLUSION"", ED ""days"", PS2 OP ""Ougon no Kagayaki"", Realta Nua ED ""Link"", Realta Nua Insert song"
11,1543,music,"PS2 OP, Realta Nua ED, Realta Nua Insert song, BGM"
11,1547,music,BGM (Realta Nua only)
11,1549,music,BGM
11,1550,music,"PC OP & ED, BGM"
11,1552,music,All of the PSV OPs
11,1555,songs,"PS2 OP ""Ougon no Kagayaki"" (as MAKI)"
11,1561,songs,"ED ""days"""
11,1562,songs,"Vita 1st OP ""ARCADIA"", 2nd OP ""HORIZON"", Vita 3rd OP ""Another Heaven"""
11,1566,songs,"Realta Nua Insert song ""Yume no Owari"""
11,1567,songs,"OP ""THIS ILLUSION"""
11,1568,songs,"Realta Nua ED ""Link"""
11,8991,art,Assistant artist (special help)
11,9562,staff,Special thanks
11,12340,staff,Graphics (special help)
11,13494,art,Background art
11,13691,staff,Gaelic language research
11,14988,staff,Graphics (Realta Nua)
11,15082,staff,Logo design
11,15083,staff,OP animation
11,15084,staff,"Proofreading, testing"
11,25978,staff,"Producer, development management"
12,386,scenario,
12,386,music,
12,386,staff,Planning
12,429,chardesign,
12,430,staff,Colouring
12,431,art,
12,769,songs,"OP ""Light colors"", ED ""Life is like a melody"""
12,980,scenario,
12,981,scenario,Additional content from CS Edition
12,984,music,
12,985,music,
12,5585,staff,OP movie
12,13479,staff,Programming
12,13481,staff,Script
12,13482,staff,PR
12,13583,staff,Colouring
12,13586,staff,"Colouring, BG"
12,13588,scenario,Assistant writer
12,13588,staff,Progress management
13,380,scenario,Kokoro's Route
13,455,songs,"PSP OP ""Uchuu no Stencil"", PSP ED ""Kirenai Knife"""
13,827,music,"OP ""Little prophet"", ED ""Darkness of chaos"", PSP OP ""Uchuu no Stencil"" composition & lyrics"
13,1008,scenario,"Main scenario writer/draft, Kokoro's Route, Satoru's Route"
13,1008,director,"PS2, senior director of PSP version"
13,1008,staff,"Planning, original concept, producer, movie editing, PSP version Infinity Series Chronology writer"
13,1013,scenario,"Kokoro's Route, Satoru's Route"
13,1017,music,
13,1038,songs,"OP ""Little prophet"""
13,1652,songs,"ED ""Darkness of chaos"""
13,2499,staff,Assistant producer (PSP)
13,2504,staff,"Producer, movie editing"
13,3073,staff,System graphics
13,8090,scenario,Kokoro's Route
13,8632,staff,"CG director, OP animation director/animation,"
13,8663,chardesign,
13,9004,staff,"CG drawing, OP animation, background mob characters drawing"
13,9987,staff,CG coloring
13,11548,staff,"Debug (original), producer (PSP)"
13,11817,staff,"Debug, demo version scripting/debug"
13,12382,scenario,Kokoro's Route
13,13446,director,PSP
13,13446,staff,Scripting
13,13526,staff,"Assistant planning, scripting (original), direction support (PSP)"
13,15621,staff,"CG coloring/director, OP animation coloring, production manager"
13,16390,staff,Executive producer
13,16779,staff,"Assistant planning, scripting (original), special thanks (PSP)"
13,16780,staff,System graphics (PSP)
13,16784,staff,Production manager
13,16785,staff,Line manager (PSP)
13,16867,staff,Production manager
13,19711,staff,Programming
13,19767,scenario,Kokoro's Route
13,19767,staff,Assistant planning
13,19768,staff,"3D graphics/movies, logo design"
14,59,songs,"ED ""Anata ga... Inai"""
14,185,staff,"True ED ""Hello, My Happiness"" lyrics"
14,291,music,"ED ""Anata ga... Inai"""
14,388,songs,"True ED ""Kanashimi no Mukou he"""
14,417,songs,"Insert Song ""Let Me Love You"""
14,417,staff,"Insert Song ""Let Me Love You"" lyrics"
14,694,songs,"True ED ""Hello, My Happiness"""
14,1062,scenario,
14,1068,chardesign,
14,1109,songs,"True ED ""Bye-Bye Tears"""
14,1691,songs,"True ED ""Secret Zaurus"""
14,1785,music,
14,2380,songs,"True ED ""Futari no Christmas"""
14,2767,music,"True ED ""Futari no Christmas"""
14,3171,staff,"True ED ""Futari no Christmas"" lyrics"
14,5928,music,"True ED ""Hello, My Happiness"", True ED ""Kanashimi no Mukou he"""
14,5928,songs,"OP ""Still I Love You ~Mitsumeru yori wa Shiawase~"""
