vn_id,staff_id,position_id,note
2,333,3,Original and remake
2,375,2,
2,2372,3,
2,3586,4,Assistant director
2,3757,5,Remake
2,5165,3,Remake
2,5585,6,Movie (PSP)
2,6176,5,
2,6176,1,
2,6311,4,
2,6871,3,
2,8609,6,Special thanks
2,8612,6,Lead coloring
2,13446,4,PSP
2,13446,6,Scripting (PSP)
2,14379,4,Assistant director
2,14379,6,Game design
2,16778,6,Scripting (PSP)
2,16780,6,System graphics (PSP)
2,16785,6,Line manager (PSP)
2,17767,6,Producer
3,1903,2,
3,1903,6,"Original concept, planning"
3,2170,3,BGM
3,2181,3,"PC & ED OP, PS2/PSP insert song composition, arrangement"
3,2182,3,"BGM & PC ED composition, arrangement"
3,2198,3,"PS2/PSP ED ""Kimi ga Tame"""
3,2217,3,"BGM, sound effects"
3,2864,5,
3,2864,1,
3,4006,7,"PS2/PSP OP ""Kimi Dake no Tabiji"", PS2/PSP ED ""Kimi ga Tame"", remake OP ""Kimi Dake no Tabiji Re:boot"""
3,8196,3,"PC ED, PS2/PSP OP, PS2/PSP ED lyrics"
3,8197,7,"PC insert song ""Unmei -SADAME-"", PC ED ""Towa (Towa) ni"""
3,8199,3,"PS2/PSP OP composition, arrangement, PS2/PSP ED arrangement"
3,10382,6,PS2/PSP OP animation director
3,13193,4,
4,386,2,"Common route, Nagisa, Fuuko, Tomoyo, Misae, first half of Yukine, After Story routes"
4,386,3,"ED2 ""Chiisana Te no Hira"" lyricist, BGM"
4,386,6,Planning
4,429,5,
4,429,1,
4,430,6,Colouring
4,769,7,"Insert Song ""Ana"""
4,782,7,"OP ""Mag Mell"", ED1 ""-Kage Futatsu-"", ED2 ""Chiisana Te no Hira"""
4,785,3,"OP ""Mag Mell"""
4,983,2,"Fujibayashi sisters', Kappei's, second half of Yukine's routes"
4,983,3,"ED1 ""-Kage Futatsu-"" lyricist"
4,984,3,BGM
4,985,3,"ED1 ""-Kage Futatsu-"", BGM"
4,5369,2,Sunohara siblings' route
4,9153,6,Executive producer
4,13479,6,Programming
4,13482,6,PR
4,13583,6,Colouring
4,13586,6,"Colouring, BG"
4,13588,2,Assistant writer
4,13592,6,Colouring
5,64,7,"Chorus in ""Sha La La Ecstasy"""
